"Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Type","Position_Type","Position","Drafted","Age_imp","Agility_3cone_imp","Shuttle_imp","Bench_Press_Reps_imp","Broad_Jump_imp","Vertical_Jump_imp","Sprint_40yd_imp","Id"
2014,22,1.98,142.9,5.48,72.39,22,261.62,7.81,4.86,36.40153149,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1208
2014,20,1.8,90.7,4.45,89.9,16,307.21,7.04,4.3,27.89405196,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1209
2014,21,1.75,94.8,4.41,102.87,32,335.28,6.83,4.12,30.86358793,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1210
2014,23,1.96,140.2,5.25,77.47,25,261.62,7.61,4.65,36.64167652,"defense","defensive_lineman","DT",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1211
2014,21,1.88,130.6,4.93,78.23,26,277.65,7.51,4.56,36.97663239,"defense","defensive_lineman","DT",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1212
2014,21,1.96,146.5,5.28,59.69,26,246.38,8.24,5,38.30181721,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1213
2014,24,1.7,83.9,4.49,89.13,15,301.21,6.94,4.21,28.97479889,"offense","backs_receivers","WR",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1214
2014,22,1.75,92.5,4.57,81.28,23,289.56,7.05,4.2,30.12522459,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1215
2014,23,1.75,87.1,4.52,93.98,19,317.5,6.95,4.18,28.35315255,"defense","defensive_back","CB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1216
2014,23,1.93,142.9,5.44,69.41,26,256.8,7.85,4.78,38.34261039,"offense","offensive_lineman","C",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1217
2014,23,1.96,122,4.84,85.09,23,312.42,7.41,4.46,31.89841743,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1218
2014,22,1.88,102.5,4.97,77.47,18,279.4,7.04,4.26,29.01638514,"offense","backs_receivers","QB",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1219
2014,22,1.91,146.5,5.34,54.61,28,254,8.26,4.83,40.37181764,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1220
2014,23,1.91,98.9,4.61,105.41,13,325.12,6.99,4.33,27.24785215,"defense","defensive_back","CB",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1221
2014,20,1.78,85.7,4.33,91.44,16,304.8,6.76,3.81,27.11839807,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1222
2014,22,1.91,107.5,4.65,90.17,21,289.56,7.05,4.29,29.62266496,"defense","line_backer","OLB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1223
2014,22,1.8,95.3,4.57630631731505,88.53,18,303.52,7.03,4.23,29.28875456,"defense","defensive_back","SS",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1224
2014,21,1.88,112.5,4.7,91.44,30,304.8,7.15,4.34,31.840989,"defense","line_backer","OLB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1225
2014,21,1.8,104.3,4.56,96.52,21,327.66,7.27,4.06,32.07815975,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1226
2014,21,1.91,138.8,5.06,85.09,26,269.24,7.92,4.78,38.24698513,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1227
2014,22,1.83,88.5,4.51,96.52,13,325.12,6.75,4,26.44648303,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1228
2014,22,1.91,135.2,5.1,64.77,25,269.24,7.93,4.63,37.24706395,"offense","offensive_lineman","C",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1229
2014,22,1.91,112.9,4.7,76.2,23,287.02,7.25,4.32,31.12254673,"defense","line_backer","OLB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1230
2014,22,1.78,87.5,4.71,90.17,15,297.18,7.08,4.22,27.69233242,"defense","defensive_back","SS",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1231
2014,21,1.8,89.8,4.38,97.79,7,309.88,6.69,3.94,27.61511144,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1232
2014,21,1.8,93.9,4.58,87.63,18,294.64,7,4.22,28.87034378,"defense","defensive_back","FS",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1233
2014,23,1.85,96.6,4.51,87.63,13,309.88,7.07,4.21,28.10167395,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1234
2014,21,1.88,102.1,4.41,85.87,19,298.02,7.06,4.31,28.88799405,"offense","backs_receivers","WR",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1235
2014,26,1.96,111.1,4.67,86.66,26,302.91,7.06,4.31,29.05246197,"defense","line_backer","OLB",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1236
2014,21,1.75,74.8,4.44,86.36,10,309.88,6.76,4.14,24.36599047,"offense","backs_receivers","WR",1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1237
2014,23,1.8,92.1,4.41,82.55,17,297.18,7.15,4.27,28.31246274,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1238
2014,23,1.85,100.7,4.84,77.47,18,269.24,7.33,4.23,29.28906862,"offense","backs_receivers","QB",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1239
2014,22,1.78,88.9,4.47,90.12,16,307,6.95,4.19,28.12278319,"defense","defensive_back","CB",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1240
2014,22,1.8,106.1,4.91,83.82,28,294.64,7.11,4.3,32.63604079,"defense","line_backer","ILB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1241
2014,21,1.96,120.2,4.74,83.82,28,299.72,7.42,4.3,31.42409152,"offense","backs_receivers","TE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1242
2014,22,1.93,142,5.42,60.96,23,256.54,8.14,4.89,38.09916524,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1243
2014,22,1.85,118.4,4.86,86.36,28,284.48,7.67,4.65,34.43444554,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1244
2014,23,1.85,151.5,5.27,71.12,25,233.68,7.81,4.75,44.06553567,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1245
2014,22,1.91,86.2,4.52,85.09,8,299.72,7.04,4.24,23.74812802,"defense","defensive_back","FS",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1246
2014,22,1.91,152.4,5.34,73.66,30,274.32,8.25,4.78,41.99668956,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1247
2014,23,1.83,93.4,4.49,89.4,17,306.67,6.97,4.21,27.93833592,"defense","defensive_back","CB",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1248
2014,22,1.88,97.1,4.69,87.63,16,279.4,6.98,4.2,27.47569212,"offense","backs_receivers","QB",1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1249
